id	xlink_label	xlink_role	xlink_type	xml_lang	label
label_HeadingsAndBlockTagsIFRSAbstract	label_HeadingsAndBlockTagsIFRSAbstract	http://www.xbrl.org/2003/role/label	resource	ja	目次項目及び包括タグ（IFRS）
label_HeadingsAndBlockTagsIFRSAbstract_2	label_HeadingsAndBlockTagsIFRSAbstract_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	目次項目及び包括タグ（IFRS） [タイトル項目]
label_ConsolidatedFinancialStatementIFRSHeading	label_ConsolidatedFinancialStatementIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	連結財務諸表
label_ConsolidatedFinancialStatementIFRSHeading_2	label_ConsolidatedFinancialStatementIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結財務諸表（IFRS） [目次項目]
label_ConsolidatedStatementOfFinancialPositionIFRSHeading	label_ConsolidatedStatementOfFinancialPositionIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	連結財政状態計算書
label_ConsolidatedStatementOfFinancialPositionIFRSHeading_2	label_ConsolidatedStatementOfFinancialPositionIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結財政状態計算書（IFRS） [目次項目]
label_ConsolidatedStatementOfFinancialPositionIFRSTextBlock	label_ConsolidatedStatementOfFinancialPositionIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	連結財政状態計算書
label_ConsolidatedStatementOfFinancialPositionIFRSTextBlock_2	label_ConsolidatedStatementOfFinancialPositionIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結財政状態計算書（IFRS） [テキストブロック]
label_ConsolidatedStatementOfProfitOrLossAndConsolidatedStatementOfComprehensiveIncomeIFRSHeading	label_ConsolidatedStatementOfProfitOrLossAndConsolidatedStatementOfComprehensiveIncomeIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	連結損益計算書及び連結包括利益計算書
label_ConsolidatedStatementOfProfitOrLossAndConsolidatedStatementOfComprehensiveIncomeIFRSHeading_2	label_ConsolidatedStatementOfProfitOrLossAndConsolidatedStatementOfComprehensiveIncomeIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結損益計算書及び連結包括利益計算書（IFRS） [目次項目]
label_ConsolidatedStatementOfProfitOrLossIFRSHeading	label_ConsolidatedStatementOfProfitOrLossIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	連結損益計算書
label_ConsolidatedStatementOfProfitOrLossIFRSHeading_2	label_ConsolidatedStatementOfProfitOrLossIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結損益計算書（IFRS） [目次項目]
label_ConsolidatedStatementOfProfitOrLossIFRSTextBlock	label_ConsolidatedStatementOfProfitOrLossIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	連結損益計算書
label_ConsolidatedStatementOfProfitOrLossIFRSTextBlock_2	label_ConsolidatedStatementOfProfitOrLossIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結損益計算書（IFRS） [テキストブロック]
label_ConsolidatedStatementOfComprehensiveIncomeIFRSHeading	label_ConsolidatedStatementOfComprehensiveIncomeIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	連結包括利益計算書
label_ConsolidatedStatementOfComprehensiveIncomeIFRSHeading_2	label_ConsolidatedStatementOfComprehensiveIncomeIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結包括利益計算書（IFRS） [目次項目]
label_ConsolidatedStatementOfComprehensiveIncomeIFRSTextBlock	label_ConsolidatedStatementOfComprehensiveIncomeIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	連結包括利益計算書
label_ConsolidatedStatementOfComprehensiveIncomeIFRSTextBlock_2	label_ConsolidatedStatementOfComprehensiveIncomeIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結包括利益計算書（IFRS） [テキストブロック]
label_ConsolidatedStatementOfComprehensiveIncomeSingleStatementIFRSHeading	label_ConsolidatedStatementOfComprehensiveIncomeSingleStatementIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	連結包括利益計算書
label_ConsolidatedStatementOfComprehensiveIncomeSingleStatementIFRSHeading_2	label_ConsolidatedStatementOfComprehensiveIncomeSingleStatementIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	連結包括利益計算書（1計算書）（IFRS） [目次項目]
label_ConsolidatedStatementOfComprehensiveIncomeSingleStatementIFRSTextBlock	label_ConsolidatedStatementOfComprehensiveIncomeSingleStatementIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	連結包括利益計算書
