id	xlink_label	xlink_role	xlink_type	xml_lang	label
label_AssetsAbstract	label_AssetsAbstract	http://www.xbrl.org/2003/role/label	resource	ja	資産の部
label_AssetsAbstract_2	label_AssetsAbstract_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	資産の部 [タイトル項目]
label_CurrentAssetsAbstract	label_CurrentAssetsAbstract	http://www.xbrl.org/2003/role/label	resource	ja	流動資産
label_CurrentAssetsAbstract_2	label_CurrentAssetsAbstract_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	流動資産 [タイトル項目]
label_CashAndDeposits	label_CashAndDeposits	http://www.xbrl.org/2003/role/label	resource	ja	現金及び預金
label_CashAndDeposits_2	label_CashAndDeposits_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	現金及び預金
label_CashAndDeposits_3	label_CashAndDeposits_3	http://disclosure.edinet-fsa.go.jp/jppfs/cns/role/label	resource	ja	現金預金
label_CashAndDeposits_4	label_CashAndDeposits_4	http://disclosure.edinet-fsa.go.jp/jppfs/ivt/role/label	resource	ja	現金・預金
label_CashAndDeposits_5	label_CashAndDeposits_5	http://disclosure.edinet-fsa.go.jp/jppfs/sec/role/label	resource	ja	現金・預金
label_NotesAndAccountsReceivableTrade	label_NotesAndAccountsReceivableTrade	http://www.xbrl.org/2003/role/label	resource	ja	受取手形及び売掛金
label_NotesAndAccountsReceivableTrade_2	label_NotesAndAccountsReceivableTrade_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	受取手形及び売掛金
label_AllowanceForDoubtfulAccountsNotesAndAccountsReceivableTrade	label_AllowanceForDoubtfulAccountsNotesAndAccountsReceivableTrade	http://www.xbrl.org/2003/role/label	resource	ja	貸倒引当金
label_AllowanceForDoubtfulAccountsNotesAndAccountsReceivableTrade_2	label_AllowanceForDoubtfulAccountsNotesAndAccountsReceivableTrade_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	貸倒引当金、受取手形及び売掛金
label_NotesAndAccountsReceivableTradeNet	label_NotesAndAccountsReceivableTradeNet	http://www.xbrl.org/2003/role/label	resource	ja	受取手形及び売掛金（純額）
label_NotesAndAccountsReceivableTradeNet_2	label_NotesAndAccountsReceivableTradeNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	受取手形及び売掛金（純額）
label_NotesReceivableTrade	label_NotesReceivableTrade	http://www.xbrl.org/2003/role/label	resource	ja	受取手形
label_NotesReceivableTrade_2	label_NotesReceivableTrade_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	受取手形
label_AllowanceForDoubtfulAccountsNotesReceivableTrade	label_AllowanceForDoubtfulAccountsNotesReceivableTrade	http://www.xbrl.org/2003/role/label	resource	ja	貸倒引当金
label_AllowanceForDoubtfulAccountsNotesReceivableTrade_2	label_AllowanceForDoubtfulAccountsNotesReceivableTrade_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	貸倒引当金、受取手形
label_NotesReceivableTradeNet	label_NotesReceivableTradeNet	http://www.xbrl.org/2003/role/label	resource	ja	受取手形（純額）
label_NotesReceivableTradeNet_2	label_NotesReceivableTradeNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	受取手形（純額）
label_AccountsReceivableTrade	label_AccountsReceivableTrade	http://www.xbrl.org/2003/role/label	resource	ja	売掛金
label_AccountsReceivableTrade_2	label_AccountsReceivableTrade_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	売掛金
label_AllowanceForDoubtfulAccountsAccountsReceivableTrade	label_AllowanceForDoubtfulAccountsAccountsReceivableTrade	http://www.xbrl.org/2003/role/label	resource	ja	貸倒引当金
label_AllowanceForDoubtfulAccountsAccountsReceivableTrade_2	label_AllowanceForDoubtfulAccountsAccountsReceivableTrade_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	貸倒引当金、売掛金
label_AccountsReceivableTradeNet	label_AccountsReceivableTradeNet	http://www.xbrl.org/2003/role/label	resource	ja	売掛金（純額）
label_AccountsReceivableTradeNet_2	label_AccountsReceivableTradeNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	売掛金（純額）
label_ShortTermInvestmentSecurities	label_ShortTermInvestmentSecurities	http://www.xbrl.org/2003/role/label	resource	ja	有価証券
label_ShortTermInvestmentSecurities_2	label_ShortTermInvestmentSecurities_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	有価証券
label_StocksOfParentCompanyCA	label_StocksOfParentCompanyCA	http://www.xbrl.org/2003/role/label	resource	ja	親会社株式
label_StocksOfParentCompanyCA_2	label_StocksOfParentCompanyCA_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	親会社株式、流動資産
label_MoneyHeldInTrustCA	label_MoneyHeldInTrustCA	http://www.xbrl.org/2003/role/label	resource	ja	金銭の信託
label_MoneyHeldInTrustCA_2	label_MoneyHeldInTrustCA_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	金銭の信託、流動資産
label_Inventories	label_Inventories	http://www.xbrl.org/2003/role/label	resource	ja	たな卸資産
label_Inventories_2	label_Inventories_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	たな卸資産
label_Merchandise	label_Merchandise	http://www.xbrl.org/2003/role/label	resource	ja	商品
label_Merchandise_2	label_Merchandise_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	商品
label_FinishedGoods	label_FinishedGoods	http://www.xbrl.org/2003/role/label	resource	ja	製品
label_FinishedGoods_2	label_FinishedGoods_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	製品
label_SemiFinishedGoods	label_SemiFinishedGoods	http://www.xbrl.org/2003/role/label	resource	ja	半製品
label_SemiFinishedGoods_2	label_SemiFinishedGoods_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	半製品
label_RawMaterials	label_RawMaterials	http://www.xbrl.org/2003/role/label	resource	ja	原材料
label_RawMaterials_2	label_RawMaterials_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	原材料
label_WorkInProcess	label_WorkInProcess	http://www.xbrl.org/2003/role/label	resource	ja	仕掛品
label_WorkInProcess_2	label_WorkInProcess_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	仕掛品
label_Supplies	label_Supplies	http://www.xbrl.org/2003/role/label	resource	ja	貯蔵品
label_Supplies_2	label_Supplies_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	貯蔵品
label_ByProduct	label_ByProduct	http://www.xbrl.org/2003/role/label	resource	ja	副産物
label_ByProduct_2	label_ByProduct_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	副産物
label_PartlyFinishedWork	label_PartlyFinishedWork	http://www.xbrl.org/2003/role/label	resource	ja	半成工事
label_PartlyFinishedWork_2	label_PartlyFinishedWork_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	半成工事
label_GoodsInTransit	label_GoodsInTransit	http://www.xbrl.org/2003/role/label	resource	ja	未着商品
label_GoodsInTransit_2	label_GoodsInTransit_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	未着商品
label_RawMaterialsInTransit	label_RawMaterialsInTransit	http://www.xbrl.org/2003/role/label	resource	ja	未着原材料
label_RawMaterialsInTransit_2	label_RawMaterialsInTransit_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	未着原材料
label_AdvancePaymentsTrade	label_AdvancePaymentsTrade	http://www.xbrl.org/2003/role/label	resource	ja	前渡金
label_AdvancePaymentsTrade_2	label_AdvancePaymentsTrade_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	前渡金
label_PrepaidExpenses	label_PrepaidExpenses	http://www.xbrl.org/2003/role/label	resource	ja	前払費用
label_PrepaidExpenses_2	label_PrepaidExpenses_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	前払費用
